,process_num,iso_level,anomaly,txn_proceeded,txn_succeeded,txn_correct,txn_retries,retry_time,avg_latency,50_percentile_latency,95_percentile_latency,99_percentile_latency
124,5,S,LU,2,1,2,1,1,0.05615144249999998,0.05615144249999998,0.10308188084999997,0.10725347536999998
183,5,RC,NR,2,2,2,0,0,0.004284597000000001,0.004284597000000001,0.005689579799999988,0.0058144671599999875
182,5,RC,NR,2,2,2,0,0,0.006772077999999987,0.006772077999999987,0.009558477099999976,0.009806157019999975
128,5,S,LU,2,0,2,2,2,0.10625074050000002,0.10625074050000002,0.10681823955000004,0.10686868391000004
500,5,RC,RS,2,2,1,0,0,0.003089127499999983,0.003089127499999983,0.004186387250000009,0.004283921450000012
447,5,S,PR,2,1,2,1,1,0.0722872365,0.0722872365,0.11342832225,0.11708530765000001
448,5,S,PR,2,2,2,0,0,0.014258724000000014,0.014258724000000014,0.020652439200000015,0.021220769440000016
449,5,S,PR,2,2,2,0,0,0.020463263499999995,0.020463263499999995,0.029810952849999985,0.030641858569999986
127,5,S,LU,2,1,2,1,1,0.05649840449999999,0.05649840449999999,0.10413472724999998,0.10836906704999999
555,5,RR,RS,2,1,2,1,1,0.055817107999999976,0.055817107999999976,0.10377486889999998,0.10803778097999998
501,5,RC,RS,2,2,2,0,0,0.002367516499999986,0.002367516499999986,0.002468568949999979,0.002477551389999978
554,5,RR,RS,2,2,2,0,0,0.002977155499999995,0.002977155499999995,0.0036806427500000014,0.003743174950000002
553,5,RR,RS,2,2,2,0,0,0.0024501680000000026,0.0024501680000000026,0.0026706311000000175,0.002690227820000019
552,5,RR,RS,2,1,2,1,1,0.05449989050000001,0.05449989050000001,0.10118564225000001,0.10533548685000002
498,5,RC,RS,2,2,2,0,0,0.0035738384999999817,0.0035738384999999817,0.003832827449999965,0.0038558486899999632
497,5,RC,RS,2,2,2,0,0,0.0031283300000000125,0.0031283300000000125,0.003897780500000009,0.003966176100000008
712,5,RR,WS,2,1,2,1,1,0.055913962,0.055913962,0.10185627639999999,0.10594003767999999
502,6,RC,RS,2,2,2,0,0,0.003625808000000008,0.003625808000000008,0.00412180159999998,0.004165889919999978
504,6,RC,RS,2,2,2,0,0,0.007338674000000017,0.007338674000000017,0.01204139000000001,0.012459409200000009
505,6,RC,RS,2,2,2,0,0,0.009664347500000003,0.009664347500000003,0.015320665249999997,0.015823449049999997
506,6,RC,RS,2,2,2,0,0,0.007437015500000005,0.007437015500000005,0.011698143350000004,0.012076910270000003
503,6,RC,RS,2,2,2,0,0,0.009934690999999968,0.009934690999999968,0.01223317309999998,0.012437482619999982
291,6,S,NR,2,2,2,0,0,0.005122244500000012,0.005122244500000012,0.007435387150000014,0.007640999830000014
771,6,S,WS,4,2,4,2,2,0.056528185250000015,0.057230325000000026,0.10937494755,0.10980860631
772,6,S,WS,2,2,2,0,0,0.0037566045000000103,0.0037566045000000103,0.004282434450000002,0.004329174890000002
294,6,S,NR,2,2,2,0,0,0.005489467499999984,0.005489467499999984,0.008301580049999965,0.008551545609999964
293,6,S,NR,2,2,2,0,0,0.005981790000000015,0.005981790000000015,0.0069671460000000265,0.0070547332000000275
292,6,S,NR,2,2,2,0,0,0.005455941000000006,0.005455941000000006,0.006135730799999996,0.006196156559999995
290,6,S,NR,2,1,2,1,1,0.0572631675,0.0572631675,0.10514755995000001,0.10940395039000002
773,6,S,WS,2,1,2,1,1,0.05557833849999999,0.05557833849999999,0.10100903394999998,0.10504731798999999
289,6,S,NR,2,2,2,0,0,0.002998558499999998,0.002998558499999998,0.003687640350000018,0.00374889207000002
560,6,RR,RS,2,2,2,0,0,0.017013662500000026,0.017013662500000026,0.019856331850000037,0.02010901357000004
559,6,RR,RS,2,2,2,0,0,0.01614665999999998,0.01614665999999998,0.01751217059999996,0.01763354931999996
558,6,RR,RS,2,2,2,0,0,0.009428579500000006,0.009428579500000006,0.014743808949999979,0.015216273789999976
774,6,S,WS,2,1,2,1,1,0.0545576435,0.0545576435,0.10045545515000001,0.10453526063000002
